날짜,거래량
2017.12.04,160308
2017.12.01,270545
2017.11.30,285858
2017.11.29,206030
2017.11.28,228383
2017.11.27,204275
2017.11.24,134155
2017.11.23,156021
2017.11.22,161638
2017.11.21,275354
2017.11.20,210232
2017.11.17,255319
2017.11.16,269906
2017.11.15,333786
2017.11.14,327931
2017.11.13,569475
2017.11.10,159514
2017.11.09,223893
2017.11.08,307875
2017.11.07,155980
2017.11.06,161624
2017.11.03,118700
2017.11.02,322801
2017.11.01,270501
2017.10.31,329160
2017.10.30,303196
2017.10.27,183792
2017.10.26,266007
2017.10.25,372266
2017.10.24,188155
2017.10.23,399666
2017.10.20,216353
2017.10.19,295178
2017.10.18,187516
2017.10.17,167250
2017.10.16,196504
2017.10.13,137752
2017.10.12,197872
2017.10.11,265038
2017.10.10,357878
2017.09.29,164580
2017.09.28,178383
2017.09.27,219741
2017.09.26,254276
2017.09.25,544021
2017.09.22,238765
2017.09.21,163464
2017.09.20,264478
2017.09.19,302944
2017.09.18,176418
2017.09.15,295682
2017.09.14,294830
2017.09.13,223842
2017.09.12,235456
2017.09.11,156234
2017.09.08,130815
2017.09.07,186284
2017.09.06,244808
2017.09.05,314453
2017.09.04,187675
2017.09.01,214948
2017.08.31,312393
2017.08.30,246490
2017.08.29,169472
2017.08.28,264779
2017.08.25,749687
2017.08.24,173467
2017.08.23,141036
2017.08.22,324679
2017.08.21,241418
2017.08.18,177128
2017.08.17,163654
2017.08.16,285105
2017.08.14,437881
2017.08.11,409033
2017.08.10,307344
2017.08.09,200589
2017.08.08,263112
2017.08.07,218801
2017.08.04,116886
2017.08.03,289586
2017.08.02,251730
2017.08.01,312214
2017.07.31,179061
2017.07.28,177808
2017.07.27,175431
2017.07.26,186384
2017.07.25,216447
2017.07.24,149985
2017.07.21,200758
2017.07.20,285843
2017.07.19,304334
2017.07.18,413228
2017.07.17,428771
2017.07.14,550135
2017.07.13,269309
2017.07.12,432423
2017.07.11,367977
2017.07.10,344556
2017.07.07,167906
2017.07.06,187287
2017.07.05,158406
2017.07.04,230171
2017.07.03,246554
2017.06.30,216932
2017.06.29,219112
2017.06.28,343760
2017.06.27,301770
2017.06.26,149528
2017.06.23,144410
2017.06.22,237327
2017.06.21,198492
2017.06.20,289526
2017.06.19,368920
2017.06.16,193387
2017.06.15,415147
2017.06.14,182790
2017.06.13,201739
2017.06.12,286317
2017.06.09,281023
2017.06.08,432234
2017.06.07,329657
2017.06.05,377147
2017.06.02,386140
2017.06.01,454562
2017.05.31,427907
2017.05.30,576972
2017.05.29,603927
2017.05.26,547656
2017.05.25,296646
2017.05.24,234998
2017.05.23,387205
2017.05.22,352803
2017.05.19,342447
2017.05.18,295408
2017.05.17,493866
2017.05.16,704066
2017.05.15,289753
2017.05.12,419849
2017.05.11,324319
2017.05.10,537670
2017.05.08,377938
2017.05.04,292083
2017.05.02,240469
2017.04.28,327182
2017.04.27,538365
2017.04.26,714398
2017.04.25,391498
2017.04.24,767416
2017.04.21,494323
2017.04.20,561174
2017.04.19,348424
2017.04.18,427061
2017.04.17,141620
2017.04.14,106866
2017.04.13,204337
2017.04.12,166634
2017.04.11,179880
2017.04.10,174068
2017.04.07,126004
2017.04.06,123814
2017.04.05,200033
2017.04.04,114592
2017.04.03,200293
2017.03.31,235827
2017.03.30,188578
2017.03.29,182345
2017.03.28,409873
2017.03.27,114032
2017.03.24,207941
2017.03.23,217153
2017.03.22,270387
2017.03.21,173618
2017.03.20,186154
2017.03.17,207785
2017.03.16,323623
2017.03.15,222174
2017.03.14,279924
2017.03.13,128026
2017.03.10,159952
2017.03.09,226564
2017.03.08,117368
2017.03.07,191446
2017.03.06,243014
2017.03.03,221259
2017.03.02,299957
2017.02.28,260774
2017.02.27,266016
2017.02.24,809647
2017.02.23,256622
2017.02.22,142742
2017.02.21,86574
2017.02.20,144770
2017.02.17,92420
2017.02.16,170257
2017.02.15,152733
2017.02.14,133823
2017.02.13,128434
2017.02.10,184208
2017.02.09,136277
2017.02.08,155583
2017.02.07,124874
2017.02.06,166098
2017.02.03,212973
2017.02.02,231101
2017.02.01,138270
2017.01.31,131757
2017.01.26,105661
2017.01.25,160055
2017.01.24,393928
2017.01.23,175032
2017.01.20,180395
2017.01.19,146304
2017.01.18,159839
2017.01.17,203718
2017.01.16,154650
2017.01.13,173763
2017.01.12,253217
2017.01.11,277280
2017.01.10,397931
2017.01.09,235739
2017.01.06,139499
2017.01.05,262591
2017.01.04,435985
2017.01.03,547885
2017.01.02,207980
2016.12.29,145538
2016.12.28,230223
2016.12.27,185601
2016.12.26,183105
2016.12.23,110568
2016.12.22,158914
2016.12.21,103975
2016.12.20,120226
2016.12.19,150249
2016.12.16,174727
2016.12.15,155091
2016.12.14,163546
2016.12.13,226442
2016.12.12,121071
2016.12.09,150403
2016.12.08,239666
2016.12.07,96653
2016.12.06,211395
2016.12.05,168467
2016.12.02,192054
2016.12.01,235336
2016.11.30,159308
2016.11.29,116624
2016.11.28,77940
2016.11.25,118093
2016.11.24,184554
2016.11.23,147928
2016.11.22,110395
2016.11.21,159200
2016.11.18,441453
2016.11.17,336723
2016.11.16,229265
2016.11.15,278010
2016.11.14,329938
2016.11.11,311121
2016.11.10,328541
2016.11.09,479642
2016.11.08,202159
2016.11.07,198457
2016.11.04,183734
2016.11.03,231456
2016.11.02,417749
2016.11.01,568642
2016.10.31,222244
2016.10.28,158946
2016.10.27,219939
2016.10.26,339113
2016.10.25,385579
2016.10.24,386255
2016.10.21,352889
2016.10.20,464973
2016.10.19,905761
2016.10.18,185868
2016.10.17,219547
2016.10.14,141984
2016.10.13,139763
2016.10.12,165763
2016.10.11,196396
2016.10.10,176558
2016.10.07,134276
